,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00048599098,0.0001997521,0.00048563746,0.004097184,4.4049328e-05,0.0024017312,0.0018757485,0.0012342789,0.0008670622
t-2,0.00063212676,0.00018179817,0.00042469232,0.0035468966,4.839739e-05,0.0013819889,0.0009762209,0.00085280644,0.0007529274
t-1,0.000850099,0.00021553684,0.000363984,0.0033170325,5.339384e-05,0.0006688253,0.000666977,0.0007828129,0.0008857903
t,0.0011263856,0.000256075,0.0003621486,0.003250466,7.203997e-05,0.0005386214,0.0010017329,0.00079966424,0.0009445466
