,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.0002051174,0.00046898183,0.00029682805,0.0005900932,8.4930325e-05,0.0023272592,0.002705752,0.002215711,0.0009878022
t-2,0.00019522375,0.00042575042,0.00028116113,0.0008529179,8.652948e-05,0.002087354,0.0018382136,0.0016728016,0.0006790377
t-1,0.00019660244,0.0004031295,0.00038047732,0.0015400233,0.00012265968,0.0022528318,0.0011217437,0.001453522,0.00055004
t,0.0002476249,0.00050047407,0.0005534055,0.0026149251,0.00019291634,0.0027437317,0.0006584317,0.0012142881,0.0006784379
