,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,7.897391e-05,0.00049678935,0.00095247984,0.0033054121,6.654601e-05,0.0031602837,0.0028388395,0.0021352659,0.000752931
t-2,5.1084007e-05,0.0005295752,0.00076413684,0.0024618343,6.924056e-05,0.0030660257,0.0024964784,0.0015342406,0.0005810659
t-1,5.3203104e-05,0.00062439137,0.0006900244,0.001553277,7.134412e-05,0.002994985,0.0024988719,0.0011449761,0.00062348385
t,6.320114e-05,0.0008140252,0.00070244656,0.0009024907,7.670303e-05,0.0031621086,0.0028121579,0.0009414429,0.000597507
