,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00041420662,0.00017594006,0.00022146218,0.00045137317,0.000110212626,0.0025612828,0.0013911624,0.0027453157,0.0020968467
t-2,0.00024989768,0.00014339834,0.0002065532,0.00059427123,8.515472e-05,0.001792228,0.0008970742,0.0022092022,0.0016397244
t-1,0.00019158458,0.00015577211,0.00022525535,0.00072157703,5.4719403e-05,0.0010762216,0.0005615357,0.0018110966,0.0015437242
t,0.00040553245,0.0003298993,0.0002906246,0.000840077,3.5362034e-05,0.00061396207,0.00060906686,0.0015322678,0.0015421313
