,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00088009296,0.0006862162,0.0003288517,0.0015166769,0.00019026194,0.0007491413,0.0017474522,0.0009483993,0.00080161286
t-2,0.0007109549,0.0006141511,0.00030121562,0.0012644869,0.00015351118,0.0005201761,0.0017213251,0.0010946337,0.00088162563
t-1,0.00068372744,0.00055508944,0.00025481536,0.0010037253,0.0001370513,0.0006911211,0.0017403485,0.0010851809,0.0007884208
t,0.0007475862,0.0006204736,0.00027872712,0.0010266469,0.00012265134,0.0014443327,0.001991468,0.0010147617,0.00092851336
