,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00022159051,0.00075484114,0.00041543704,0.0008300498,4.1679083e-05,0.00093299465,0.000756496,0.0025958575,0.0012477613
t-2,0.00014739156,0.00050090806,0.00036526108,0.00080328254,3.0391606e-05,0.00074425654,0.0006329995,0.0019586238,0.00094227405
t-1,0.00014622987,0.00035232177,0.00040703668,0.00095692667,3.1278378e-05,0.0006921353,0.000758956,0.0014008197,0.0007865782
t,0.00016630873,0.00031523991,0.00047630497,0.0015257439,3.705096e-05,0.00075334054,0.0011404203,0.0012040229,0.00062505255
