,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00019543384,0.0006507587,0.00057833316,0.00152587,0.00025333476,0.00070508005,0.0032558725,0.0009801091,0.0007166722
t-2,0.00014106388,0.0008166023,0.0005863413,0.001031583,0.00019643722,0.0005165619,0.0021389665,0.0010683556,0.0005909558
t-1,9.545095e-05,0.000955422,0.0006784344,0.0006273243,0.00014722507,0.00055874547,0.0013645213,0.0009117332,0.0007027093
t,8.595292e-05,0.0012409532,0.0008163751,0.0005690958,0.00010688624,0.0007036531,0.00090758485,0.00082029164,0.000988129
