,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00030144508,0.00028411215,0.00033697364,0.0015687045,6.812834e-05,0.0016007279,0.0016419017,0.0017791581,0.0015479918
t-2,0.00028291138,0.0002319101,0.00030345106,0.0010626777,5.7538506e-05,0.002016519,0.0013369332,0.0014601984,0.001148431
t-1,0.00030134624,0.00026917763,0.00023800562,0.00093308924,5.3321946e-05,0.0025664067,0.0012236249,0.0014656729,0.0008562133
t,0.00026852527,0.00030008622,0.00025726785,0.0010586336,4.0454674e-05,0.0033900933,0.0012822155,0.0019591681,0.00077932817
