,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00018639557,0.00024233779,0.0005151476,0.002286955,0.000113315386,0.00058788486,0.0008538983,0.0017422317,0.00072735996
t-2,0.00017754607,0.00017605304,0.00040841178,0.0015490364,8.8273526e-05,0.00065356196,0.0008329612,0.0012958858,0.00066481886
t-1,0.00019365814,0.00017525296,0.00038968085,0.00081625977,8.135642e-05,0.0007209296,0.00091850304,0.0012832484,0.00070297194
t,0.00031520397,0.00028165354,0.0005589614,0.00051925954,8.502461e-05,0.0008830526,0.0013620071,0.0015442824,0.0009090418
