,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00012552719,0.0013444376,0.00067957013,0.0007084115,0.00012084038,0.0017426593,0.001934977,0.0037265918,0.0014414445
t-2,8.8526744e-05,0.001000577,0.0005100582,0.00061522605,0.00011101917,0.0014631968,0.00148177,0.0030054217,0.0014264092
t-1,0.00013366784,0.0007002067,0.0004246274,0.0008043669,0.00010986514,0.0014647128,0.0012496433,0.0025507489,0.0012740978
t,0.00015257594,0.0004411057,0.0003733905,0.001409783,0.00016013658,0.0018107061,0.001096108,0.0020603745,0.0014803559
