,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.0007037022,0.00035367475,0.00030329404,0.0014163039,0.00010881205,0.0008933368,0.0017308507,0.0011524811,0.0006280246
t-2,0.00034839704,0.00030665877,0.00032473553,0.0016075888,0.00013950877,0.0006687873,0.001681827,0.0012928525,0.0007715223
t-1,0.00022804951,0.0003104106,0.00036657575,0.0018129327,0.0001587669,0.00092039077,0.0019385724,0.0015245309,0.00082346966
t,0.00037357316,0.00033628725,0.00045703855,0.0022363593,0.00021315612,0.0012500327,0.002343676,0.0013347592,0.0009152213
