,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00030137546,0.00069779955,0.00019538989,0.0005718965,7.7728015e-05,0.0018351712,0.00068858085,0.0012295354,0.0006577415
t-2,0.00027447226,0.00042168837,0.0001767082,0.00051772915,5.4859185e-05,0.001305014,0.0007852819,0.0008577808,0.00062528707
t-1,0.00029835568,0.00028907193,0.0001867073,0.0007460397,6.290233e-05,0.00089495606,0.0012824934,0.00071738363,0.0006170781
t,0.00033899662,0.00029437448,0.00020912125,0.0011478919,6.652483e-05,0.000550472,0.0022809417,0.0008720127,0.0009009098
