,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00019311794,0.00030702056,0.0002887121,0.0006740742,4.2727548e-05,0.0007436563,0.0006732392,0.00079014065,0.00054123567
t-2,0.00017364314,0.0002948909,0.00028901617,0.00047640054,3.775476e-05,0.0006963672,0.00094765815,0.0007653486,0.0003716713
t-1,0.00018083632,0.00033709258,0.00033120374,0.0013159459,4.4504824e-05,0.0006733941,0.0014176341,0.0009315981,0.0004913427
t,0.00021130359,0.0004335352,0.00039232944,0.0024308302,5.8869144e-05,0.0008616814,0.0020775972,0.0012964607,0.00071049033
