,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00065274246,0.00095086417,0.00063208747,0.0029689316,0.00017186548,0.00037718235,0.0028799686,0.00192121,0.00087845715
t-2,0.0005880269,0.00077478035,0.0004553565,0.0030869888,0.00014835142,0.0005469394,0.002620331,0.0020465178,0.00062907144
t-1,0.00062123185,0.00071492017,0.00039000477,0.0035994747,0.0001378334,0.00075394317,0.0027109098,0.002165412,0.00060374377
t,0.000604903,0.0008572291,0.0004402068,0.004462017,0.00013222687,0.00084525155,0.0031287863,0.0026883474,0.00068794243
