,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00044322378,0.0007805615,0.0005273035,0.0012868727,0.00012213491,0.001395207,0.0009159328,0.0043989415,0.0018731462
t-2,0.00047310177,0.0007905348,0.0004560451,0.001048168,9.127278e-05,0.00090426445,0.00085270725,0.004008747,0.0017670961
t-1,0.0006152068,0.0008940216,0.000412856,0.0011506252,7.473255e-05,0.0006359484,0.0008083621,0.0037656429,0.0015927651
t,0.00078974746,0.0010072769,0.0004576793,0.0012372435,0.00011433621,0.00078477,0.00088443013,0.003726055,0.001490801
