,var1_AS2_flow,var2_aux_flow_1,var3_aux_flow_2,var4_weather_1,var5_weather_2,var6_weather_3,var7_weather_4,var8_day_type,hour
t-3,0.00027095302,0.0006720256,0.00020324811,0.0006266285,7.726372e-05,0.002468629,0.0013084575,0.0020339764,0.0010494426
t-2,0.00019347882,0.00044526448,0.00018233308,0.0007708659,7.968449e-05,0.0034176381,0.0016698022,0.001335996,0.00073366356
t-1,0.000147226,0.0003048347,0.00016728128,0.0010818313,0.00010017365,0.0044725956,0.0022769526,0.0008784669,0.0006453559
t,0.00017072372,0.00031100336,0.00021921039,0.0014095092,0.0001354736,0.0057886136,0.0031680313,0.0008667563,0.0005307725
